Date,Cases
01/01/2020,0
02/01/2020,0
03/01/2020,0
04/01/2020,0
05/01/2020,0
06/01/2020,0
07/01/2020,0
08/01/2020,0
09/01/2020,0
10/01/2020,0
11/01/2020,0
12/01/2020,0
13/01/2020,0
14/01/2020,0
15/01/2020,0
16/01/2020,0
17/01/2020,0
18/01/2020,0
19/01/2020,0
20/01/2020,0
21/01/2020,0
22/01/2020,0
23/01/2020,0
24/01/2020,0
25/01/2020,0
26/01/2020,0
27/01/2020,0
28/01/2020,0
29/01/2020,0
30/01/2020,2
31/01/2020,0
01/02/2020,0
02/02/2020,0
03/02/2020,0
04/02/2020,0
05/02/2020,1
06/02/2020,0
07/02/2020,0
08/02/2020,4
09/02/2020,1
10/02/2020,0
11/02/2020,1
12/02/2020,0
13/02/2020,0
14/02/2020,0
15/02/2020,0
16/02/2020,0
17/02/2020,0
18/02/2020,0
19/02/2020,0
20/02/2020,0
21/02/2020,1
22/02/2020,0
23/02/2020,1
24/02/2020,2
25/02/2020,5
26/02/2020,4
27/02/2020,8
28/02/2020,12
29/02/2020,5
01/03/2020,22
02/03/2020,39
03/03/2020,56
04/03/2020,56
05/03/2020,50
06/03/2020,81
07/03/2020,68
08/03/2020,57
09/03/2020,147
10/03/2020,265
11/03/2020,405
12/03/2020,481
13/03/2020,479
14/03/2020,363
15/03/2020,442
16/03/2020,611
17/03/2020,768
18/03/2020,997
19/03/2020,1051
20/03/2020,1260
21/03/2020,1194
22/03/2020,1373
23/03/2020,2323
24/03/2020,2375
25/03/2020,2691
26/03/2020,3091
27/03/2020,3187
28/03/2020,2814
29/03/2020,2856
30/03/2020,4267
31/03/2020,4513
01/04/2020,4938
02/04/2020,4859
03/04/2020,4889
04/04/2020,4004
05/04/2020,3589
06/04/2020,5262
07/04/2020,5432
08/04/2020,5116
09/04/2020,4853
10/04/2020,4309
11/04/2020,3559
12/04/2020,3480
13/04/2020,4164
14/04/2020,4298
15/04/2020,5038
16/04/2020,5275
17/04/2020,4939
18/04/2020,4704
19/04/2020,3854
20/04/2020,4846
21/04/2020,4769
22/04/2020,5487
23/04/2020,5140
24/04/2020,4943
25/04/2020,3742
26/04/2020,3470
27/04/2020,4698
28/04/2020,4718
29/04/2020,5424
30/04/2020,4956
01/05/2020,4729
02/05/2020,3225
03/05/2020,2980
04/05/2020,3381
05/05/2020,3672
06/05/2020,3820
07/05/2020,3765
08/05/2020,3060
09/05/2020,2161
10/05/2020,2320
11/05/2020,3570
12/05/2020,3392
13/05/2020,3310
14/05/2020,2624
15/05/2020,2530
16/05/2020,2078
