Date,London,Manchester,Birmingham
01/01/2020,1,1,0.99
02/01/2020,1.02,1,1.04
03/01/2020,1,1.05,1.08
04/01/2020,1.01,1.02,1.11
05/01/2020,0.99,1.08,1
06/01/2020,0.97,1.01,1
07/01/2020,0.94,0.93,0.98
08/01/2020,1,1,0.99
09/01/2020,1.02,1,1.04
10/01/2020,1,1.05,1.08
11/01/2020,1.01,1.02,1.11
12/01/2020,0.99,1.08,1
13/01/2020,0.97,1.01,1
14/01/2020,0.94,0.93,0.98
15/01/2020,1,1,0.99
16/01/2020,1.02,1,1.04
17/01/2020,1,1.05,1.08
18/01/2020,1.01,1.02,1.11
19/01/2020,0.99,1.08,1
20/01/2020,0.97,1.01,1
21/01/2020,0.94,0.93,0.98
22/01/2020,1,1,0.99
23/01/2020,1.02,1,1.04
24/01/2020,1,1.05,1.08
25/01/2020,1.01,1.02,1.11
26/01/2020,0.99,1.08,1
27/01/2020,0.97,1.01,1
28/01/2020,0.94,0.93,0.98
29/01/2020,1,1,0.99
30/01/2020,1.02,1,1.04
31/01/2020,1,1.05,1.08
01/02/2020,1.01,1.02,1.11
02/02/2020,0.99,1.08,1
03/02/2020,0.97,1.01,1
04/02/2020,0.94,0.93,0.98
05/02/2020,1,1,0.99
06/02/2020,1.02,1,1.04
07/02/2020,1,1.05,1.08
08/02/2020,1.01,1.02,1.11
09/02/2020,0.99,1.08,1
10/02/2020,0.97,1.01,1
11/02/2020,0.94,0.93,0.98
12/02/2020,1,1,0.99
13/02/2020,1.02,1,1.04
14/02/2020,1,1.05,1.08
15/02/2020,1.01,1.02,1.11
16/02/2020,0.99,1.08,1
17/02/2020,0.97,1.01,1
18/02/2020,0.94,0.93,0.98
19/02/2020,1,1,0.99
20/02/2020,1.02,1,1.04
21/02/2020,1,1.05,1.08
22/02/2020,1.01,1.02,1.11
23/02/2020,0.99,1.08,1
24/02/2020,0.97,1.01,1
25/02/2020,0.94,0.93,0.98
26/02/2020,1,1,0.99
27/02/2020,1.02,1,1.04
28/02/2020,1,1.05,1.08
29/02/2020,1.01,1.02,1.11
01/03/2020,0.99,1.08,1
02/03/2020,1.06,1.06,1
03/03/2020,0.98,0.98,1.05
04/03/2020,1,1,0.99
05/03/2020,1,1,1.04
06/03/2020,1.05,1.05,1.08
07/03/2020,1.02,1.02,1.11
08/03/2020,1.08,1.08,1
09/03/2020,1.01,1.01,1
10/03/2020,0.93,0.93,0.98
11/03/2020,0.91,0.91,0.91
12/03/2020,0.88,0.88,0.95
13/03/2020,0.89,0.89,0.89
14/03/2020,0.81,0.81,0.84
15/03/2020,0.77,0.77,0.72
16/03/2020,0.68,0.68,0.65
17/03/2020,0.47,0.47,0.55
18/03/2020,0.42,0.42,0.45
19/03/2020,0.38,0.38,0.42
20/03/2020,0.36,0.36,0.38
21/03/2020,0.26,0.26,0.31
22/03/2020,0.26,0.26,0.25
23/03/2020,0.28,0.28,0.31
24/03/2020,0.16,0.16,0.21
25/03/2020,0.13,0.13,0.18
26/03/2020,0.12,0.12,0.16
27/03/2020,0.12,0.12,0.14
28/03/2020,0.1,0.1,0.14
29/03/2020,0.11,0.11,0.14
30/03/2020,0.13,0.13,0.16
31/03/2020,0.1,0.1,0.13
01/04/2020,0.1,0.1,0.12
02/04/2020,0.09,0.09,0.13
03/04/2020,0.08,0.08,0.13
04/04/2020,0.08,0.08,0.13
05/04/2020,0.09,0.09,0.12
06/04/2020,0.11,0.11,0.13
07/04/2020,0.1,0.1,0.1
08/04/2020,0.09,0.09,0.11
09/04/2020,0.09,0.09,0.13
10/04/2020,0.09,0.09,0.1
11/04/2020,0.09,0.09,0.12
12/04/2020,0.08,0.08,0.1
13/04/2020,0.1,0.1,0.1
14/04/2020,0.1,0.1,0.13
15/04/2020,0.09,0.09,0.12
16/04/2020,0.08,0.08,0.13
17/04/2020,0.09,0.09,0.11
18/04/2020,0.08,0.08,0.11
19/04/2020,0.1,0.1,0.12
20/04/2020,0.1,0.1,0.13
21/04/2020,0.1,0.1,0.11
22/04/2020,0.09,0.09,0.1
23/04/2020,0.09,0.09,0.12
24/04/2020,0.09,0.09,0.12
25/04/2020,0.1,0.1,0.13
26/04/2020,0.1,0.1,0.13
27/04/2020,0.11,0.11,0.13
28/04/2020,0.08,0.08,0.12
29/04/2020,0.09,0.09,0.11
30/04/2020,0.08,0.08,0.13
01/05/2020,0.08,0.08,0.13
02/05/2020,0.1,0.1,0.14
03/05/2020,0.09,0.09,0.15
04/05/2020,0.1,0.1,0.13
05/05/2020,0.09,0.09,0.13
06/05/2020,0.1,0.1,0.13
07/05/2020,0.1,0.1,0.13
08/05/2020,0.1,0.1,0.13
09/05/2020,0.11,0.11,0.15
10/05/2020,0.1,0.1,0.13
11/05/2020,0.11,0.11,0.16
12/05/2020,0.1,0.1,0.13
13/05/2020,0.1,0.1,0.13
14/05/2020,0.11,0.11,0.14
15/05/2020,0.1,0.1,0.15
16/05/2020,0.11,0.11,0.15
17/05/2020,0.12,0.12,0.15
18/05/2020,0.13,0.13,0.18
19/05/2020,0.13,0.13,0.15
20/05/2020,0.13,0.13,0.16
21/05/2020,0.13,0.13,0.16
22/05/2020,0.13,0.13,0.15
23/05/2020,0.13,0.13,0.16
24/05/2020,0.13,0.13,0.18
25/05/2020,0.16,0.16,0.17
26/05/2020,0.15,0.15,0.19
27/05/2020,0.15,0.15,0.18
28/05/2020,0.16,0.16,0.17
29/05/2020,0.16,0.16,0.17
30/05/2020,0.17,0.17,0.2
31/05/2020,0.19,0.19,0.26
01/06/2020,0.18,0.18,0.19
02/06/2020,0.17,0.17,0.19
03/06/2020,0.15,0.15,0.15
04/06/2020,0.15,0.15,0.19
05/06/2020,0.16,0.16,0.16
06/06/2020,0.18,0.18,0.17
07/06/2020,0.16,0.16,0.18
08/06/2020,0.18,0.18,0.19
09/06/2020,0.16,0.16,0.18
10/06/2020,0.15,0.15,0.16
11/06/2020,0.15,0.15,0.16
12/06/2020,0.17,0.17,0.2
13/06/2020,0.19,0.19,0.22
14/06/2020,0.19,0.19,0.22
15/06/2020,0.21,0.21,0.24
16/06/2020,0.17,0.17,0.22
17/06/2020,0.17,0.17,0.2
18/06/2020,0.18,0.18,0.22
19/06/2020,0.19,0.19,0.22
20/06/2020,0.23,0.23,0.25
21/06/2020,0.22,0.22,0.23
22/06/2020,0.25,0.25,0.26
23/06/2020,0.22,0.22,0.25
24/06/2020,0.26,0.26,0.22
25/06/2020,0.25,0.25,0.25
26/06/2020,0.2,0.2,0.26
27/06/2020,0.2,0.2,0.23
28/06/2020,0.2,0.2,0.26
29/06/2020,0.22,0.22,0.27
30/06/2020,0.23,0.23,0.26
01/07/2020,0.23,0.23,0.26
02/07/2020,0.23,0.23,0.26
03/07/2020,0.23,0.23,0.25
04/07/2020,0.29,0.29,0.29
05/07/2020,0.29,0.29,0.32
06/07/2020,0.3,0.3,0.29
07/07/2020,0.27,0.27,0.27
08/07/2020,0.27,0.27,0.25
09/07/2020,0.28,0.28,0.29
10/07/2020,0.3,0.3,0.27
11/07/2020,0.33,0.33,0.34
12/07/2020,0.34,0.34,0.31
13/07/2020,0.3,0.3,0.31
14/07/2020,0.31,0.31,0.3
15/07/2020,0.28,0.28,0.25
16/07/2020,0.31,0.31,0.3
17/07/2020,0.31,0.31,0.35
18/07/2020,0.31,0.31,0.36
19/07/2020,0.38,0.38,0.35
20/07/2020,0.34,0.34,0.34
21/07/2020,0.31,0.31,0.33
22/07/2020,0.32,0.32,0.31
23/07/2020,0.33,0.33,0.32
24/07/2020,0.35,0.35,0.34
25/07/2020,0.37,0.37,0.36
26/07/2020,0.36,0.36,0.34
27/07/2020,0.33,0.33,0.33
28/07/2020,0.35,0.35,0.35
29/07/2020,0.33,0.33,0.33
30/07/2020,0.35,0.35,0.36
31/07/2020,0.36,0.36,0.37
01/08/2020,0.37,0.37,0.39
02/08/2020,0.38,0.38,0.41
03/08/2020,0.37,0.37,0.35
04/08/2020,0.33,0.33,0.35
05/08/2020,0.32,0.32,0.34
06/08/2020,0.36,0.36,0.38
07/08/2020,0.38,0.38,0.38
08/08/2020,0.4,0.4,0.4
09/08/2020,0.4,0.4,0.39
10/08/2020,0.39,0.39,0.39
11/08/2020,0.38,0.38,0.37
12/08/2020,0.38,0.38,0.35
13/08/2020,0.38,0.38,0.37
14/08/2020,0.38,0.38,0.41
15/08/2020,0.42,0.42,0.45
16/08/2020,0.38,0.38,0.39
17/08/2020,0.41,0.41,0.39
18/08/2020,0.4,0.4,0.39
19/08/2020,0.4,0.4,0.37
20/08/2020,0.41,0.41,0.41
21/08/2020,0.4,0.4,0.39
22/08/2020,0.39,0.39,0.43
23/08/2020,0.41,0.41,0.43
24/08/2020,0.44,0.44,0.46
25/08/2020,0.4,0.4,0.43
26/08/2020,0.46,0.46,0.42
27/08/2020,0.42,0.42,0.41
28/08/2020,0.45,0.45,0.45
29/08/2020,0.46,0.46,0.5
30/08/2020,0.48,0.48,0.51
31/08/2020,0.51,0.51,0.48
01/09/2020,0.47,0.47,0.53
02/09/2020,0.49,0.49,0.51
03/09/2020,0.48,0.48,0.54
04/09/2020,0.5,0.5,0.54
05/09/2020,0.5,0.5,0.53
06/09/2020,0.53,0.53,0.49
07/09/2020,0.56,0.56,0.55
08/09/2020,0.53,0.53,0.55
09/09/2020,0.54,0.54,0.53
10/09/2020,0.54,0.54,0.53
11/09/2020,0.54,0.54,0.57
12/09/2020,0.54,0.54,0.54
13/09/2020,0.57,0.57,0.56
14/09/2020,0.6,0.6,0.6
15/09/2020,0.57,0.57,0.55
16/09/2020,0.57,0.57,0.55
17/09/2020,0.6,0.6,0.58
18/09/2020,0.62,0.62,0.56
19/09/2020,0.64,0.64,0.57
20/09/2020,0.66,0.66,0.63
21/09/2020,0.67,0.67,0.64
22/09/2020,0.62,0.62,0.6
