Demand,Time,Date
27007,00:00:00,01/01/2020
27646,01:00:00,01/01/2020
26093,02:00:00,01/01/2020
25390,03:00:00,01/01/2020
24187,04:00:00,01/01/2020
23814,05:00:00,01/01/2020
24151,06:00:00,01/01/2020
24938,07:00:00,01/01/2020
25315,08:00:00,01/01/2020
26598,09:00:00,01/01/2020
29055,10:00:00,01/01/2020
30520,11:00:00,01/01/2020
32400,12:00:00,01/01/2020
33317,13:00:00,01/01/2020
33555,14:00:00,01/01/2020
34151,15:00:00,01/01/2020
35641,16:00:00,01/01/2020
37674,17:00:00,01/01/2020
37216,18:00:00,01/01/2020
35673,19:00:00,01/01/2020
33671,20:00:00,01/01/2020
31594,21:00:00,01/01/2020
28860,22:00:00,01/01/2020
26322,23:00:00,01/01/2020
23422,00:00:00,02/01/2020
24161,01:00:00,02/01/2020
23527,02:00:00,02/01/2020
23878,03:00:00,02/01/2020
24136,04:00:00,02/01/2020
24705,05:00:00,02/01/2020
25539,06:00:00,02/01/2020
29687,07:00:00,02/01/2020
33079,08:00:00,02/01/2020
35019,09:00:00,02/01/2020
35553,10:00:00,02/01/2020
35945,11:00:00,02/01/2020
36656,12:00:00,02/01/2020
37063,13:00:00,02/01/2020
36651,14:00:00,02/01/2020
37466,15:00:00,02/01/2020
38641,16:00:00,02/01/2020
40865,17:00:00,02/01/2020
40969,18:00:00,02/01/2020
39252,19:00:00,02/01/2020
37038,20:00:00,02/01/2020
33583,21:00:00,02/01/2020
29775,22:00:00,02/01/2020
27439,23:00:00,02/01/2020
25406,00:00:00,03/01/2020
26308,01:00:00,03/01/2020
25881,02:00:00,03/01/2020
25363,03:00:00,03/01/2020
24729,04:00:00,03/01/2020
23872,05:00:00,03/01/2020
25059,06:00:00,03/01/2020
29159,07:00:00,03/01/2020
33706,08:00:00,03/01/2020
36414,09:00:00,03/01/2020
37445,10:00:00,03/01/2020
36953,11:00:00,03/01/2020
36990,12:00:00,03/01/2020
36356,13:00:00,03/01/2020
36021,14:00:00,03/01/2020
36883,15:00:00,03/01/2020
38653,16:00:00,03/01/2020
42453,17:00:00,03/01/2020
42298,18:00:00,03/01/2020
40968,19:00:00,03/01/2020
38250,20:00:00,03/01/2020
35060,21:00:00,03/01/2020
31418,22:00:00,03/01/2020
28302,23:00:00,03/01/2020
27091,00:00:00,04/01/2020
27368,01:00:00,04/01/2020
26083,02:00:00,04/01/2020
25820,03:00:00,04/01/2020
25549,04:00:00,04/01/2020
25276,05:00:00,04/01/2020
25205,06:00:00,04/01/2020
26489,07:00:00,04/01/2020
28231,08:00:00,04/01/2020
30669,09:00:00,04/01/2020
32681,10:00:00,04/01/2020
33545,11:00:00,04/01/2020
33598,12:00:00,04/01/2020
33344,13:00:00,04/01/2020
33075,14:00:00,04/01/2020
33702,15:00:00,04/01/2020
35520,16:00:00,04/01/2020
38928,17:00:00,04/01/2020
39265,18:00:00,04/01/2020
37850,19:00:00,04/01/2020
36016,20:00:00,04/01/2020
33700,21:00:00,04/01/2020
30812,22:00:00,04/01/2020
27679,23:00:00,04/01/2020
25673,00:00:00,05/01/2020
25697,01:00:00,05/01/2020
24949,02:00:00,05/01/2020
24073,03:00:00,05/01/2020
23310,04:00:00,05/01/2020
23615,05:00:00,05/01/2020
23855,06:00:00,05/01/2020
25200,07:00:00,05/01/2020
26497,08:00:00,05/01/2020
28917,09:00:00,05/01/2020
31018,10:00:00,05/01/2020
32325,11:00:00,05/01/2020
33483,12:00:00,05/01/2020
34343,13:00:00,05/01/2020
34233,14:00:00,05/01/2020
35034,15:00:00,05/01/2020
36712,16:00:00,05/01/2020
39969,17:00:00,05/01/2020
39522,18:00:00,05/01/2020
37827,19:00:00,05/01/2020
35513,20:00:00,05/01/2020
32988,21:00:00,05/01/2020
29829,22:00:00,05/01/2020
26392,23:00:00,05/01/2020
24811,00:00:00,06/01/2020
25458,01:00:00,06/01/2020
25375,02:00:00,06/01/2020
25945,03:00:00,06/01/2020
25368,04:00:00,06/01/2020
26289,05:00:00,06/01/2020
27861,06:00:00,06/01/2020
33201,07:00:00,06/01/2020
36236,08:00:00,06/01/2020
37414,09:00:00,06/01/2020
38063,10:00:00,06/01/2020
38074,11:00:00,06/01/2020
38326,12:00:00,06/01/2020
36973,13:00:00,06/01/2020
38637,14:00:00,06/01/2020
38750,15:00:00,06/01/2020
40051,16:00:00,06/01/2020
43226,17:00:00,06/01/2020
43467,18:00:00,06/01/2020
42171,19:00:00,06/01/2020
40205,20:00:00,06/01/2020
36907,21:00:00,06/01/2020
32533,22:00:00,06/01/2020
28704,23:00:00,06/01/2020
25948,00:00:00,07/01/2020
26599,01:00:00,07/01/2020
26196,02:00:00,07/01/2020
26160,03:00:00,07/01/2020
25055,04:00:00,07/01/2020
24945,05:00:00,07/01/2020
26842,06:00:00,07/01/2020
33142,07:00:00,07/01/2020
37151,08:00:00,07/01/2020
37539,09:00:00,07/01/2020
37755,10:00:00,07/01/2020
37380,11:00:00,07/01/2020
37924,12:00:00,07/01/2020
38282,13:00:00,07/01/2020
38735,14:00:00,07/01/2020
38280,15:00:00,07/01/2020
39801,16:00:00,07/01/2020
41896,17:00:00,07/01/2020
41475,18:00:00,07/01/2020
39699,19:00:00,07/01/2020
37040,20:00:00,07/01/2020
34184,21:00:00,07/01/2020
30037,22:00:00,07/01/2020
26816,23:00:00,07/01/2020
25747,00:00:00,08/01/2020
25641,01:00:00,08/01/2020
25472,02:00:00,08/01/2020
24948,03:00:00,08/01/2020
